Transfer_Enrollment_Modules_Fall_2023,user_id,student,section_id,active
Transfer_Enrollment_Modules_Fall_2023,abedirl,student,,active
Transfer_Enrollment_Modules_Fall_2023,aguil2ja,student,,active
Transfer_Enrollment_Modules_Fall_2023,alexa2em,student,,active
Transfer_Enrollment_Modules_Fall_2023,allen5mj,student,,active
Transfer_Enrollment_Modules_Fall_2023,artbx,student,,active
Transfer_Enrollment_Modules_Fall_2023,balocayx,student,,active
Transfer_Enrollment_Modules_Fall_2023,barks2dt,student,,active
Transfer_Enrollment_Modules_Fall_2023,bartolaj,student,,active
Transfer_Enrollment_Modules_Fall_2023,bavisoge,student,,active
Transfer_Enrollment_Modules_Fall_2023,bosserrc,student,,active
Transfer_Enrollment_Modules_Fall_2023,boyntobx,student,,active
Transfer_Enrollment_Modules_Fall_2023,brow22cs,student,,active
Transfer_Enrollment_Modules_Fall_2023,cofercs,student,,active
Transfer_Enrollment_Modules_Fall_2023,cooleymx,student,,active
Transfer_Enrollment_Modules_Fall_2023,cornwemr,student,,active
Transfer_Enrollment_Modules_Fall_2023,doss2kn,student,,active
Transfer_Enrollment_Modules_Fall_2023,eastonab,student,,active
Transfer_Enrollment_Modules_Fall_2023,enfielon,student,,active
Transfer_Enrollment_Modules_Fall_2023,everarpm,student,,active
Transfer_Enrollment_Modules_Fall_2023,freimumi,student,,active
Transfer_Enrollment_Modules_Fall_2023,green6sm,student,,active
Transfer_Enrollment_Modules_Fall_2023,heirybp,student,,active
Transfer_Enrollment_Modules_Fall_2023,hippeaac,student,,active
Transfer_Enrollment_Modules_Fall_2023,hoshyahx,student,,active
Transfer_Enrollment_Modules_Fall_2023,jacks4as,student,,active
Transfer_Enrollment_Modules_Fall_2023,john22aa,student,,active
Transfer_Enrollment_Modules_Fall_2023,johns5ks,student,,active
Transfer_Enrollment_Modules_Fall_2023,kelle4jm,student,,active
Transfer_Enrollment_Modules_Fall_2023,kim3ey,student,,active
Transfer_Enrollment_Modules_Fall_2023,kretzhj,student,,active
Transfer_Enrollment_Modules_Fall_2023,laatzer,student,,active
Transfer_Enrollment_Modules_Fall_2023,mairsx,student,,active
Transfer_Enrollment_Modules_Fall_2023,marcelmr,student,,active
Transfer_Enrollment_Modules_Fall_2023,mattsoix,student,,active
Transfer_Enrollment_Modules_Fall_2023,mccloskh,student,,active
Transfer_Enrollment_Modules_Fall_2023,melgusmx,student,,active
Transfer_Enrollment_Modules_Fall_2023,moore2lg,student,,active
Transfer_Enrollment_Modules_Fall_2023,murph4je,student,,active
Transfer_Enrollment_Modules_Fall_2023,nematicx,student,,active
Transfer_Enrollment_Modules_Fall_2023,newbolrg,student,,active
Transfer_Enrollment_Modules_Fall_2023,nguy46tx,student,,active
Transfer_Enrollment_Modules_Fall_2023,nickolkm,student,,active
Transfer_Enrollment_Modules_Fall_2023,oluji2ei,student,,active
Transfer_Enrollment_Modules_Fall_2023,olujidei,student,,active
Transfer_Enrollment_Modules_Fall_2023,peckhaam,student,,active
Transfer_Enrollment_Modules_Fall_2023,poole2rx,student,,active
Transfer_Enrollment_Modules_Fall_2023,poolems,student,,active
Transfer_Enrollment_Modules_Fall_2023,postek,student,,active
Transfer_Enrollment_Modules_Fall_2023,potte2bc,student,,active
Transfer_Enrollment_Modules_Fall_2023,raufsm,student,,active
Transfer_Enrollment_Modules_Fall_2023,riddicmx,student,,active
Transfer_Enrollment_Modules_Fall_2023,sawye2gl,student,,active
Transfer_Enrollment_Modules_Fall_2023,schmidjn,student,,active
Transfer_Enrollment_Modules_Fall_2023,sewoulsx,student,,active
Transfer_Enrollment_Modules_Fall_2023,sherbefa,student,,active
Transfer_Enrollment_Modules_Fall_2023,sinopofx,student,,active
Transfer_Enrollment_Modules_Fall_2023,tukamt,student,,active
Transfer_Enrollment_Modules_Fall_2023,vokackm,student,,active
Transfer_Enrollment_Modules_Fall_2023,walls3ad,student,,active
Transfer_Enrollment_Modules_Fall_2023,weigancl,student,,active
Transfer_Enrollment_Modules_Fall_2023,will33jm,student,,active
Transfer_Enrollment_Modules_Fall_2023,wood4ax,student,,active
Transfer_Enrollment_Modules_Fall_2023,wood7ae,student,,active
